# Model Spectrum: Blackbody T = 10000.000
# No ISM extinction
# Normalization: A0V magnitude 15.000000 for filter 2MASS Ks
# 
# Wavelength (microns)   F_lambda (W/m^2/micron)   F_nu (Jy)
     0.41795508  4.807852e-14  2.801494e-03
     0.41837408  4.800894e-14  2.803051e-03
     0.41879350  4.793931e-14  2.804600e-03
     0.41921334  4.786963e-14  2.806141e-03
     0.41963360  4.779989e-14  2.807675e-03
     0.42005429  4.773011e-14  2.809200e-03
     0.42047539  4.766029e-14  2.810717e-03
     0.42089692  4.759041e-14  2.812226e-03
     0.42131887  4.752049e-14  2.813727e-03
     0.42174124  4.745052e-14  2.815220e-03
     0.42216404  4.738051e-14  2.816706e-03
     0.42258726  4.731045e-14  2.818183e-03
     0.42301090  4.724034e-14  2.819652e-03
     0.42343497  4.717020e-14  2.821113e-03
     0.42385947  4.710001e-14  2.822566e-03
     0.42428439  4.702978e-14  2.824011e-03
     0.42470973  4.695951e-14  2.825448e-03
     0.42513550  4.688920e-14  2.826877e-03
     0.42556170  4.681885e-14  2.828297e-03
     0.42598833  4.674846e-14  2.829710e-03
     0.42641538  4.667803e-14  2.831115e-03
     0.42684286  4.660756e-14  2.832512e-03
     0.42727077  4.653706e-14  2.833900e-03
     0.42769911  4.646652e-14  2.835281e-03
     0.42812788  4.639594e-14  2.836654e-03
     0.42855708  4.632533e-14  2.838018e-03
     0.42898671  4.625468e-14  2.839374e-03
     0.42941677  4.618400e-14  2.840723e-03
     0.42984726  4.611329e-14  2.842063e-03
     0.43027818  4.604254e-14  2.843395e-03
     0.43070954  4.597177e-14  2.844720e-03
     0.43114132  4.590096e-14  2.846036e-03
     0.43157354  4.583012e-14  2.847344e-03
     0.43200620  4.575925e-14  2.848644e-03
     0.43243928  4.568835e-14  2.849936e-03
     0.43287280  4.561742e-14  2.851220e-03
     0.43330676  4.554647e-14  2.852495e-03
     0.43374115  4.547549e-14  2.853763e-03
     0.43417598  4.540448e-14  2.855023e-03
     0.43461124  4.533344e-14  2.856274e-03
     0.43504694  4.526238e-14  2.857518e-03
     0.43548307  4.519130e-14  2.858753e-03
     0.43591964  4.512019e-14  2.859981e-03
     0.43635665  4.504905e-14  2.861200e-03
     0.43679410  4.497790e-14  2.862411e-03
     0.43723199  4.490672e-14  2.863614e-03
     0.43767031  4.483552e-14  2.864809e-03
     0.43810908  4.476430e-14  2.865996e-03
     0.43854828  4.469306e-14  2.867175e-03
     0.43898793  4.462180e-14  2.868346e-03
     0.43942801  4.455052e-14  2.869509e-03
     0.43986854  4.447922e-14  2.870663e-03
     0.44030951  4.440790e-14  2.871810e-03
     0.44075092  4.433657e-14  2.872948e-03
     0.44119277  4.426522e-14  2.874079e-03
     0.44163507  4.419385e-14  2.875201e-03
     0.44207781  4.412247e-14  2.876316e-03
     0.44252099  4.405107e-14  2.877422e-03
     0.44296462  4.397966e-14  2.878520e-03
     0.44340869  4.390824e-14  2.879610e-03
     0.44385321  4.383680e-14  2.880692e-03
     0.44429818  4.376535e-14  2.881766e-03
     0.44474359  4.369389e-14  2.882832e-03
     0.44518944  4.362241e-14  2.883890e-03
     0.44563574  4.355093e-14  2.884940e-03
     0.44608249  4.347943e-14  2.885981e-03
     0.44652969  4.340793e-14  2.887015e-03
     0.44697734  4.333642e-14  2.888041e-03
     0.44742543  4.326490e-14  2.889058e-03
     0.44787398  4.319337e-14  2.890068e-03
     0.44832297  4.312183e-14  2.891069e-03
     0.44877242  4.305029e-14  2.892063e-03
     0.44922231  4.297874e-14  2.893048e-03
     0.44967266  4.290719e-14  2.894025e-03
     0.45012346  4.283563e-14  2.894994e-03
     0.45057470  4.276407e-14  2.895956e-03
     0.45102641  4.269250e-14  2.896909e-03
     0.45147856  4.262093e-14  2.897854e-03
     0.45193117  4.254936e-14  2.898791e-03
     0.45238423  4.247779e-14  2.899720e-03
     0.45283775  4.240621e-14  2.900641e-03
     0.45329172  4.233463e-14  2.901554e-03
     0.45374614  4.226306e-14  2.902459e-03
     0.45420102  4.219148e-14  2.903356e-03
     0.45465636  4.211991e-14  2.904245e-03
     0.45511215  4.204833e-14  2.905126e-03
     0.45556840  4.197676e-14  2.905999e-03
     0.45602511  4.190519e-14  2.906863e-03
     0.45648228  4.183362e-14  2.907720e-03
     0.45693990  4.176206e-14  2.908569e-03
     0.45739798  4.169050e-14  2.909410e-03
     0.45785653  4.161895e-14  2.910243e-03
     0.45831553  4.154740e-14  2.911068e-03
     0.45877499  4.147586e-14  2.911884e-03
     0.45923491  4.140432e-14  2.912693e-03
     0.45969530  4.133279e-14  2.913494e-03
     0.46015614  4.126127e-14  2.914287e-03
     0.46061745  4.118975e-14  2.915072e-03
     0.46107922  4.111825e-14  2.915849e-03
     0.46154145  4.104675e-14  2.916618e-03
     0.46200415  4.097526e-14  2.917379e-03
     0.46246731  4.090379e-14  2.918132e-03
     0.46293093  4.083232e-14  2.918877e-03
     0.46339502  4.076086e-14  2.919614e-03
     0.46385957  4.068942e-14  2.920343e-03
     0.46432459  4.061799e-14  2.921064e-03
     0.46479008  4.054657e-14  2.921777e-03
     0.46525603  4.047516e-14  2.922482e-03
     0.46572245  4.040377e-14  2.923180e-03
     0.46618934  4.033239e-14  2.923869e-03
     0.46665669  4.026103e-14  2.924551e-03
     0.46712452  4.018968e-14  2.925224e-03
     0.46759281  4.011834e-14  2.925890e-03
     0.46806157  4.004703e-14  2.926547e-03
     0.46853080  3.997573e-14  2.927197e-03
     0.46900051  3.990445e-14  2.927839e-03
     0.46947068  3.983318e-14  2.928473e-03
     0.46994133  3.976193e-14  2.929099e-03
     0.47041244  3.969070e-14  2.929717e-03
     0.47088403  3.961950e-14  2.930328e-03
     0.47135609  3.954831e-14  2.930930e-03
     0.47182863  3.947714e-14  2.931524e-03
     0.47230164  3.940599e-14  2.932111e-03
     0.47277512  3.933486e-14  2.932690e-03
     0.47324908  3.926376e-14  2.933261e-03
     0.47372351  3.919267e-14  2.933824e-03
     0.47419842  3.912161e-14  2.934379e-03
     0.47467380  3.905057e-14  2.934926e-03
     0.47514966  3.897956e-14  2.935466e-03
     0.47562600  3.890857e-14  2.935998e-03
     0.47610282  3.883760e-14  2.936522e-03
     0.47658011  3.876666e-14  2.937038e-03
     0.47705788  3.869574e-14  2.937546e-03
     0.47753613  3.862485e-14  2.938046e-03
     0.47801487  3.855399e-14  2.938539e-03
     0.47849408  3.848315e-14  2.939024e-03
     0.47897377  3.841234e-14  2.939501e-03
     0.47945394  3.834156e-14  2.939970e-03
     0.47993459  3.827081e-14  2.940431e-03
     0.48041573  3.820008e-14  2.940885e-03
     0.48089734  3.812939e-14  2.941331e-03
     0.48137944  3.805872e-14  2.941769e-03
     0.48186203  3.798808e-14  2.942199e-03
     0.48234509  3.791748e-14  2.942622e-03
     0.48282865  3.784690e-14  2.943037e-03
     0.48331268  3.777636e-14  2.943444e-03
     0.48379720  3.770584e-14  2.943843e-03
     0.48428221  3.763536e-14  2.944235e-03
     0.48476770  3.756492e-14  2.944619e-03
     0.48525368  3.749450e-14  2.944995e-03
     0.48574015  3.742412e-14  2.945363e-03
     0.48622711  3.735377e-14  2.945724e-03
     0.48671455  3.728346e-14  2.946077e-03
     0.48720248  3.721318e-14  2.946423e-03
     0.48769090  3.714294e-14  2.946761e-03
     0.48817981  3.707273e-14  2.947091e-03
     0.48866921  3.700256e-14  2.947413e-03
     0.48915911  3.693242e-14  2.947728e-03
     0.48964949  3.686232e-14  2.948035e-03
     0.49014036  3.679226e-14  2.948334e-03
     0.49063173  3.672224e-14  2.948626e-03
     0.49112359  3.665226e-14  2.948910e-03
     0.49161594  3.658231e-14  2.949187e-03
     0.49210879  3.651240e-14  2.949456e-03
     0.49260213  3.644253e-14  2.949717e-03
     0.49309596  3.637270e-14  2.949971e-03
     0.49359029  3.630291e-14  2.950217e-03
     0.49408511  3.623317e-14  2.950456e-03
     0.49458043  3.616346e-14  2.950687e-03
     0.49507625  3.609379e-14  2.950910e-03
     0.49557257  3.602417e-14  2.951126e-03
     0.49606938  3.595459e-14  2.951335e-03
     0.49656669  3.588505e-14  2.951535e-03
     0.49706450  3.581555e-14  2.951729e-03
     0.49756281  3.574610e-14  2.951914e-03
     0.49806161  3.567669e-14  2.952092e-03
     0.49856092  3.560732e-14  2.952263e-03
     0.49906073  3.553800e-14  2.952426e-03
     0.49956104  3.546872e-14  2.952582e-03
     0.50006185  3.539949e-14  2.952730e-03
     0.50056316  3.533031e-14  2.952871e-03
     0.50106498  3.526117e-14  2.953004e-03
     0.50156729  3.519207e-14  2.953130e-03
     0.50207012  3.512303e-14  2.953248e-03
     0.50257344  3.505403e-14  2.953359e-03
     0.50307727  3.498507e-14  2.953463e-03
     0.50358161  3.491617e-14  2.953559e-03
     0.50408645  3.484731e-14  2.953647e-03
     0.50459180  3.477850e-14  2.953728e-03
     0.50509765  3.470974e-14  2.953802e-03
     0.50560401  3.464103e-14  2.953869e-03
     0.50611088  3.457237e-14  2.953928e-03
     0.50661826  3.450376e-14  2.953979e-03
     0.50712614  3.443520e-14  2.954023e-03
     0.50763454  3.436669e-14  2.954060e-03
     0.50814344  3.429823e-14  2.954090e-03
     0.50865285  3.422983e-14  2.954112e-03
     0.50916278  3.416147e-14  2.954127e-03
     0.50967322  3.409317e-14  2.954134e-03
     0.51018416  3.402491e-14  2.954135e-03
     0.51069562  3.395672e-14  2.954128e-03
     0.51120760  3.388857e-14  2.954113e-03
     0.51172008  3.382048e-14  2.954092e-03
     0.51223308  3.375244e-14  2.954063e-03
     0.51274660  3.368445e-14  2.954026e-03
     0.51326063  3.361652e-14  2.953983e-03
     0.51377517  3.354865e-14  2.953932e-03
     0.51429023  3.348083e-14  2.953874e-03
     0.51480581  3.341306e-14  2.953809e-03
     0.51532190  3.334535e-14  2.953737e-03
     0.51583851  3.327770e-14  2.953657e-03
     0.51635564  3.321010e-14  2.953570e-03
     0.51687329  3.314256e-14  2.953476e-03
     0.51739145  3.307507e-14  2.953375e-03
     0.51791014  3.300765e-14  2.953267e-03
     0.51842934  3.294028e-14  2.953151e-03
     0.51894907  3.287296e-14  2.953029e-03
     0.51946932  3.280571e-14  2.952899e-03
     0.51999009  3.273852e-14  2.952762e-03
     0.52051138  3.267138e-14  2.952618e-03
     0.52103319  3.260430e-14  2.952467e-03
     0.52155553  3.253728e-14  2.952308e-03
     0.52207839  3.247033e-14  2.952143e-03
     0.52260177  3.240343e-14  2.951970e-03
     0.52312568  3.233659e-14  2.951791e-03
     0.52365011  3.226981e-14  2.951604e-03
     0.52417507  3.220310e-14  2.951411e-03
     0.52470056  3.213644e-14  2.951210e-03
     0.52522657  3.206985e-14  2.951002e-03
     0.52575311  3.200331e-14  2.950788e-03
     0.52628018  3.193684e-14  2.950566e-03
     0.52680778  3.187044e-14  2.950337e-03
     0.52733590  3.180409e-14  2.950101e-03
     0.52786456  3.173781e-14  2.949859e-03
     0.52839374  3.167159e-14  2.949609e-03
     0.52892346  3.160543e-14  2.949352e-03
     0.52945370  3.153934e-14  2.949089e-03
     0.52998448  3.147331e-14  2.948818e-03
     0.53051579  3.140735e-14  2.948541e-03
     0.53104763  3.134145e-14  2.948257e-03
     0.53158001  3.127561e-14  2.947965e-03
     0.53211292  3.120984e-14  2.947667e-03
     0.53264636  3.114414e-14  2.947362e-03
     0.53318034  3.107850e-14  2.947050e-03
     0.53371486  3.101292e-14  2.946732e-03
     0.53424991  3.094741e-14  2.946406e-03
     0.53478549  3.088197e-14  2.946073e-03
     0.53532162  3.081660e-14  2.945734e-03
     0.53585828  3.075129e-14  2.945388e-03
     0.53639547  3.068605e-14  2.945035e-03
     0.53693321  3.062088e-14  2.944676e-03
     0.53747149  3.055577e-14  2.944309e-03
     0.53801030  3.049073e-14  2.943936e-03
     0.53854966  3.042576e-14  2.943556e-03
     0.53908956  3.036086e-14  2.943169e-03
     0.53962999  3.029603e-14  2.942776e-03
     0.54017097  3.023126e-14  2.942375e-03
     0.54071250  3.016657e-14  2.941969e-03
     0.54125456  3.010194e-14  2.941555e-03
     0.54179717  3.003739e-14  2.941135e-03
     0.54234032  2.997290e-14  2.940708e-03
     0.54288402  2.990848e-14  2.940274e-03
     0.54342826  2.984414e-14  2.939834e-03
     0.54397305  2.977986e-14  2.939387e-03
     0.54451838  2.971565e-14  2.938933e-03
     0.54506426  2.965152e-14  2.938473e-03
     0.54561069  2.958746e-14  2.938006e-03
     0.54615766  2.952346e-14  2.937533e-03
     0.54670519  2.945954e-14  2.937053e-03
     0.54725326  2.939570e-14  2.936566e-03
     0.54780188  2.933192e-14  2.936073e-03
     0.54835106  2.926821e-14  2.935573e-03
     0.54890078  2.920458e-14  2.935067e-03
     0.54945105  2.914102e-14  2.934554e-03
     0.55000188  2.907754e-14  2.934035e-03
     0.55055325  2.901412e-14  2.933509e-03
     0.55110518  2.895078e-14  2.932977e-03
     0.55165767  2.888752e-14  2.932438e-03
     0.55221071  2.882432e-14  2.931893e-03
     0.55276430  2.876120e-14  2.931341e-03
     0.55331844  2.869816e-14  2.930783e-03
     0.55387315  2.863519e-14  2.930218e-03
     0.55442841  2.857229e-14  2.929647e-03
     0.55498422  2.850947e-14  2.929070e-03
     0.55554059  2.844672e-14  2.928486e-03
     0.55609752  2.838405e-14  2.927896e-03
     0.55665501  2.832145e-14  2.927299e-03
     0.55721306  2.825893e-14  2.926696e-03
     0.55777167  2.819649e-14  2.926087e-03
     0.55833083  2.813412e-14  2.925471e-03
     0.55889056  2.807182e-14  2.924849e-03
     0.55945085  2.800961e-14  2.924221e-03
     0.56001170  2.794747e-14  2.923586e-03
     0.56057311  2.788540e-14  2.922945e-03
     0.56113509  2.782341e-14  2.922298e-03
     0.56169762  2.776150e-14  2.921645e-03
     0.56226073  2.769967e-14  2.920985e-03
     0.56282439  2.763791e-14  2.920319e-03
     0.56338863  2.757623e-14  2.919647e-03
     0.56395342  2.751463e-14  2.918969e-03
     0.56451879  2.745311e-14  2.918285e-03
     0.56508472  2.739166e-14  2.917594e-03
     0.56565122  2.733030e-14  2.916897e-03
     0.56621828  2.726901e-14  2.916194e-03
     0.56678592  2.720780e-14  2.915485e-03
     0.56735412  2.714666e-14  2.914769e-03
     0.56792289  2.708561e-14  2.914048e-03
     0.56849224  2.702464e-14  2.913320e-03
     0.56906215  2.696374e-14  2.912587e-03
     0.56963264  2.690293e-14  2.911847e-03
     0.57020369  2.684219e-14  2.911101e-03
     0.57077532  2.678153e-14  2.910349e-03
     0.57134753  2.672096e-14  2.909591e-03
     0.57192030  2.666046e-14  2.908827e-03
     0.57249365  2.660004e-14  2.908057e-03
     0.57306758  2.653970e-14  2.907281e-03
     0.57364208  2.647945e-14  2.906499e-03
     0.57421716  2.641927e-14  2.905711e-03
     0.57479281  2.635918e-14  2.904917e-03
     0.57536904  2.629916e-14  2.904118e-03
     0.57594585  2.623923e-14  2.903312e-03
     0.57652324  2.617938e-14  2.902500e-03
     0.57710120  2.611960e-14  2.901682e-03
     0.57767975  2.605991e-14  2.900859e-03
     0.57825887  2.600030e-14  2.900029e-03
     0.57883858  2.594078e-14  2.899194e-03
     0.57941886  2.588133e-14  2.898352e-03
     0.57999973  2.582197e-14  2.897505e-03
     0.58058118  2.576269e-14  2.896652e-03
     0.58116321  2.570349e-14  2.895793e-03
     0.58174583  2.564437e-14  2.894929e-03
     0.58232903  2.558534e-14  2.894058e-03
     0.58291282  2.552638e-14  2.893182e-03
     0.58349719  2.546751e-14  2.892300e-03
     0.58408214  2.540873e-14  2.891413e-03
     0.58466769  2.535002e-14  2.890519e-03
     0.58525382  2.529140e-14  2.889620e-03
     0.58584053  2.523286e-14  2.888715e-03
     0.58642784  2.517441e-14  2.887804e-03
     0.58701573  2.511604e-14  2.886888e-03
     0.58760422  2.505775e-14  2.885966e-03
     0.58819329  2.499955e-14  2.885038e-03
     0.58878296  2.494143e-14  2.884105e-03
     0.58937321  2.488339e-14  2.883166e-03
     0.58996406  2.482544e-14  2.882221e-03
     0.59055550  2.476757e-14  2.881271e-03
     0.59114753  2.470978e-14  2.880315e-03
     0.59174016  2.465208e-14  2.879354e-03
     0.59233338  2.459447e-14  2.878386e-03
     0.59292719  2.453693e-14  2.877414e-03
     0.59352160  2.447949e-14  2.876436e-03
     0.59411661  2.442212e-14  2.875452e-03
     0.59471221  2.436485e-14  2.874463e-03
     0.59530841  2.430765e-14  2.873468e-03
     0.59590521  2.425055e-14  2.872468e-03
     0.59650261  2.419352e-14  2.871462e-03
     0.59710060  2.413659e-14  2.870451e-03
     0.59769919  2.407973e-14  2.869434e-03
     0.59829839  2.402297e-14  2.868412e-03
     0.59889818  2.396628e-14  2.867385e-03
     0.59949858  2.390969e-14  2.866352e-03
     0.60009958  2.385318e-14  2.865314e-03
     0.60070118  2.379675e-14  2.864270e-03
     0.60130338  2.374041e-14  2.863221e-03
     0.60190619  2.368416e-14  2.862166e-03
     0.60250960  2.362799e-14  2.861107e-03
     0.60311362  2.357191e-14  2.860041e-03
     0.60371824  2.351591e-14  2.858971e-03
     0.60432347  2.346000e-14  2.857895e-03
     0.60492930  2.340418e-14  2.856814e-03
     0.60553574  2.334844e-14  2.855728e-03
     0.60614279  2.329279e-14  2.854636e-03
     0.60675045  2.323723e-14  2.853539e-03
     0.60735872  2.318175e-14  2.852437e-03
     0.60796760  2.312636e-14  2.851330e-03
     0.60857709  2.307106e-14  2.850217e-03
     0.60918719  2.301584e-14  2.849100e-03
     0.60979790  2.296071e-14  2.847977e-03
     0.61040922  2.290567e-14  2.846849e-03
     0.61102116  2.285071e-14  2.845715e-03
     0.61163371  2.279584e-14  2.844577e-03
     0.61224687  2.274106e-14  2.843434e-03
     0.61286065  2.268636e-14  2.842285e-03
     0.61347504  2.263175e-14  2.841131e-03
     0.61409005  2.257723e-14  2.839972e-03
     0.61470568  2.252280e-14  2.838808e-03
     0.61532192  2.246845e-14  2.837639e-03
     0.61593878  2.241419e-14  2.836465e-03
     0.61655626  2.236002e-14  2.835286e-03
     0.61717436  2.230594e-14  2.834102e-03
     0.61779308  2.225194e-14  2.832913e-03
     0.61841241  2.219803e-14  2.831719e-03
     0.61903237  2.214421e-14  2.830520e-03
     0.61965295  2.209048e-14  2.829316e-03
     0.62027416  2.203683e-14  2.828107e-03
     0.62089598  2.198328e-14  2.826893e-03
     0.62151843  2.192981e-14  2.825674e-03
     0.62214151  2.187642e-14  2.824451e-03
     0.62276520  2.182313e-14  2.823222e-03
     0.62338953  2.176993e-14  2.821988e-03
     0.62401447  2.171681e-14  2.820750e-03
     0.62464005  2.166378e-14  2.819507e-03
     0.62526625  2.161084e-14  2.818259e-03
     0.62589308  2.155798e-14  2.817006e-03
     0.62652054  2.150522e-14  2.815748e-03
     0.62714863  2.145254e-14  2.814486e-03
     0.62777735  2.139995e-14  2.813218e-03
     0.62840669  2.134745e-14  2.811946e-03
     0.62903667  2.129504e-14  2.810669e-03
     0.62966728  2.124272e-14  2.809388e-03
     0.63029852  2.119049e-14  2.808101e-03
     0.63093040  2.113834e-14  2.806810e-03
     0.63156291  2.108628e-14  2.805515e-03
     0.63219605  2.103431e-14  2.804214e-03
     0.63282983  2.098243e-14  2.802909e-03
     0.63346424  2.093064e-14  2.801599e-03
     0.63409929  2.087894e-14  2.800285e-03
     0.63473497  2.082732e-14  2.798966e-03
     0.63537130  2.077580e-14  2.797642e-03
     0.63600826  2.072436e-14  2.796314e-03
     0.63664586  2.067301e-14  2.794981e-03
     0.63728409  2.062175e-14  2.793644e-03
     0.63792297  2.057058e-14  2.792302e-03
     0.63856249  2.051950e-14  2.790955e-03
     0.63920265  2.046850e-14  2.789604e-03
     0.63984345  2.041760e-14  2.788248e-03
     0.64048490  2.036678e-14  2.786888e-03
     0.64112698  2.031606e-14  2.785524e-03
     0.64176971  2.026542e-14  2.784154e-03
     0.64241309  2.021487e-14  2.782781e-03
     0.64305711  2.016441e-14  2.781403e-03
     0.64370177  2.011404e-14  2.780020e-03
     0.64434708  2.006376e-14  2.778633e-03
     0.64499304  2.001356e-14  2.777242e-03
     0.64563965  1.996346e-14  2.775846e-03
     0.64628690  1.991344e-14  2.774446e-03
     0.64693481  1.986351e-14  2.773042e-03
     0.64758336  1.981368e-14  2.771633e-03
     0.64823256  1.976393e-14  2.770220e-03
     0.64888242  1.971427e-14  2.768802e-03
     0.64953292  1.966470e-14  2.767381e-03
     0.65018408  1.961522e-14  2.765955e-03
     0.65083589  1.956582e-14  2.764524e-03
     0.65148835  1.951652e-14  2.763089e-03
     0.65214147  1.946730e-14  2.761651e-03
     0.65279524  1.941818e-14  2.760207e-03
     0.65344967  1.936914e-14  2.758760e-03
     0.65410476  1.932019e-14  2.757308e-03
     0.65476050  1.927133e-14  2.755853e-03
     0.65541690  1.922256e-14  2.754393e-03
     0.65607395  1.917388e-14  2.752928e-03
     0.65673167  1.912529e-14  2.751460e-03
     0.65739004  1.907678e-14  2.749988e-03
     0.65804908  1.902837e-14  2.748511e-03
     0.65870877  1.898004e-14  2.747030e-03
     0.65936913  1.893181e-14  2.745545e-03
     0.66003014  1.888366e-14  2.744056e-03
     0.66069183  1.883560e-14  2.742563e-03
     0.66135417  1.878763e-14  2.741066e-03
     0.66201718  1.873975e-14  2.739565e-03
     0.66268085  1.869196e-14  2.738060e-03
     0.66334519  1.864425e-14  2.736551e-03
     0.66401019  1.859664e-14  2.735037e-03
     0.66467587  1.854911e-14  2.733520e-03
     0.66534220  1.850168e-14  2.731999e-03
     0.66600921  1.845433e-14  2.730474e-03
     0.66667688  1.840707e-14  2.728945e-03
     0.66734523  1.835990e-14  2.727412e-03
     0.66801424  1.831282e-14  2.725875e-03
     0.66868393  1.826582e-14  2.724334e-03
     0.66935428  1.821892e-14  2.722789e-03
     0.67002531  1.817210e-14  2.721240e-03
     0.67069701  1.812537e-14  2.719688e-03
     0.67136939  1.807873e-14  2.718131e-03
     0.67204244  1.803218e-14  2.716571e-03
     0.67271616  1.798572e-14  2.715007e-03
     0.67339056  1.793935e-14  2.713439e-03
     0.67406563  1.789306e-14  2.711867e-03
     0.67474139  1.784687e-14  2.710292e-03
     0.67541782  1.780076e-14  2.708712e-03
     0.67609492  1.775474e-14  2.707129e-03
     0.67677271  1.770881e-14  2.705542e-03
     0.67745117  1.766297e-14  2.703952e-03
     0.67813032  1.761721e-14  2.702358e-03
     0.67881015  1.757155e-14  2.700760e-03
     0.67949065  1.752597e-14  2.699158e-03
     0.68017184  1.748048e-14  2.697553e-03
     0.68085372  1.743508e-14  2.695944e-03
     0.68153627  1.738976e-14  2.694331e-03
     0.68221951  1.734454e-14  2.692715e-03
     0.68290344  1.729940e-14  2.691095e-03
     0.68358805  1.725435e-14  2.689471e-03
     0.68427335  1.720939e-14  2.687844e-03
     0.68495933  1.716452e-14  2.686213e-03
     0.68564601  1.711973e-14  2.684579e-03
     0.68633337  1.707504e-14  2.682941e-03
     0.68702142  1.703043e-14  2.681300e-03
     0.68771016  1.698590e-14  2.679655e-03
     0.68839959  1.694147e-14  2.678006e-03
     0.68908971  1.689712e-14  2.676354e-03
     0.68978052  1.685286e-14  2.674699e-03
     0.69047203  1.680869e-14  2.673040e-03
     0.69116423  1.676461e-14  2.671377e-03
     0.69185712  1.672061e-14  2.669712e-03
     0.69255071  1.667671e-14  2.668042e-03
     0.69324499  1.663288e-14  2.666370e-03
     0.69393997  1.658915e-14  2.664694e-03
     0.69463565  1.654550e-14  2.663014e-03
     0.69533202  1.650195e-14  2.661331e-03
     0.69602909  1.645847e-14  2.659645e-03
     0.69672686  1.641509e-14  2.657955e-03
     0.69742533  1.637179e-14  2.656262e-03
     0.69812450  1.632858e-14  2.654566e-03
     0.69882437  1.628546e-14  2.652866e-03
     0.69952494  1.624242e-14  2.651163e-03
     0.70022622  1.619947e-14  2.649457e-03
     0.70092819  1.615661e-14  2.647748e-03
     0.70163088  1.611384e-14  2.646035e-03
     0.70233426  1.607115e-14  2.644319e-03
     0.70303835  1.602854e-14  2.642600e-03
     0.70374315  1.598603e-14  2.640877e-03
     0.70444865  1.594360e-14  2.639152e-03
     0.70515486  1.590126e-14  2.637423e-03
     0.70586178  1.585900e-14  2.635691e-03
     0.70656941  1.581683e-14  2.633956e-03
     0.70727774  1.577475e-14  2.632217e-03
     0.70798679  1.573275e-14  2.630476e-03
     0.70869655  1.569084e-14  2.628731e-03
     0.70940702  1.564902e-14  2.626984e-03
     0.71011820  1.560728e-14  2.625233e-03
     0.71083009  1.556563e-14  2.623479e-03
     0.71154270  1.552406e-14  2.621722e-03
     0.71225602  1.548258e-14  2.619962e-03
     0.71297006  1.544119e-14  2.618199e-03
     0.71368482  1.539988e-14  2.616432e-03
     0.71440029  1.535866e-14  2.614663e-03
     0.71511647  1.531752e-14  2.612891e-03
     0.71583338  1.527647e-14  2.611116e-03
     0.71655100  1.523550e-14  2.609338e-03
     0.71726934  1.519462e-14  2.607557e-03
     0.71798841  1.515383e-14  2.605773e-03
     0.71870819  1.511312e-14  2.603986e-03
     0.71942870  1.507249e-14  2.602196e-03
     0.72014993  1.503196e-14  2.600403e-03
     0.72087188  1.499150e-14  2.598607e-03
     0.72159455  1.495113e-14  2.596808e-03
     0.72231795  1.491085e-14  2.595007e-03
     0.72304208  1.487065e-14  2.593202e-03
     0.72376693  1.483054e-14  2.591395e-03
     0.72449250  1.479051e-14  2.589585e-03
     0.72521881  1.475056e-14  2.587772e-03
     0.72594584  1.471070e-14  2.585956e-03
     0.72667360  1.467093e-14  2.584138e-03
     0.72740209  1.463124e-14  2.582316e-03
     0.72813131  1.459163e-14  2.580492e-03
     0.72886127  1.455211e-14  2.578665e-03
     0.72959195  1.451267e-14  2.576836e-03
     0.73032337  1.447332e-14  2.575003e-03
     0.73105552  1.443405e-14  2.573168e-03
     0.73178840  1.439486e-14  2.571331e-03
     0.73252202  1.435576e-14  2.569490e-03
     0.73325638  1.431675e-14  2.567647e-03
     0.73399147  1.427781e-14  2.565801e-03
     0.73472729  1.423896e-14  2.563952e-03
     0.73546386  1.420020e-14  2.562101e-03
     0.73620116  1.416151e-14  2.560248e-03
     0.73693920  1.412291e-14  2.558391e-03
     0.73767799  1.408440e-14  2.556532e-03
     0.73841751  1.404597e-14  2.554671e-03
     0.73915777  1.400762e-14  2.552806e-03
     0.73989878  1.396935e-14  2.550940e-03
     0.74064053  1.393117e-14  2.549070e-03
     0.74138302  1.389307e-14  2.547198e-03
     0.74212626  1.385505e-14  2.545324e-03
     0.74287024  1.381712e-14  2.543447e-03
     0.74361497  1.377927e-14  2.541568e-03
     0.74436045  1.374150e-14  2.539686e-03
     0.74510667  1.370381e-14  2.537801e-03
     0.74585364  1.366621e-14  2.535914e-03
     0.74660136  1.362869e-14  2.534025e-03
     0.74734983  1.359125e-14  2.532133e-03
     0.74809905  1.355389e-14  2.530239e-03
     0.74884902  1.351662e-14  2.528343e-03
     0.74959974  1.347943e-14  2.526443e-03
     0.75035121  1.344232e-14  2.524542e-03
     0.75110344  1.340529e-14  2.522638e-03
     0.75185642  1.336834e-14  2.520732e-03
     0.75261016  1.333148e-14  2.518824e-03
     0.75336465  1.329470e-14  2.516913e-03
     0.75411990  1.325799e-14  2.515000e-03
     0.75487591  1.322137e-14  2.513084e-03
     0.75563267  1.318484e-14  2.511166e-03
     0.75639019  1.314838e-14  2.509246e-03
     0.75714848  1.311200e-14  2.507324e-03
     0.75790752  1.307571e-14  2.505399e-03
     0.75866732  1.303949e-14  2.503472e-03
     0.75942789  1.300336e-14  2.501543e-03
     0.76018921  1.296731e-14  2.499611e-03
     0.76095130  1.293134e-14  2.497678e-03
     0.76171416  1.289545e-14  2.495742e-03
     0.76247778  1.285963e-14  2.493804e-03
     0.76324216  1.282390e-14  2.491864e-03
     0.76400731  1.278826e-14  2.489921e-03
     0.76477323  1.275269e-14  2.487977e-03
