# Model Spectrum: Blackbody T = 10000.000
# No ISM extinction
# Normalization: A0V magnitude 15.000000 for filter 2MASS Ks
# 
# Wavelength (microns)   F_lambda (W/m^2/micron)   F_nu (Jy)
     0.10298459  1.371518e-15  4.852050e-06
     0.10308783  1.383892e-15  4.905647e-06
     0.10319118  1.396358e-15  4.959767e-06
     0.10329463  1.408917e-15  5.014414e-06
     0.10339818  1.421569e-15  5.069591e-06
     0.10350184  1.434314e-15  5.125305e-06
     0.10360560  1.447154e-15  5.181558e-06
     0.10370946  1.460088e-15  5.238356e-06
     0.10381343  1.473117e-15  5.295702e-06
     0.10391750  1.486242e-15  5.353602e-06
     0.10402168  1.499462e-15  5.412060e-06
     0.10412596  1.512780e-15  5.471080e-06
     0.10423035  1.526194e-15  5.530667e-06
     0.10433484  1.539706e-15  5.590825e-06
     0.10443944  1.553317e-15  5.651560e-06
     0.10454414  1.567025e-15  5.712875e-06
     0.10464894  1.580833e-15  5.774776e-06
     0.10475385  1.594741e-15  5.837266e-06
     0.10485887  1.608749e-15  5.900352e-06
     0.10496399  1.622858e-15  5.964037e-06
     0.10506922  1.637067e-15  6.028327e-06
     0.10517455  1.651379e-15  6.093226e-06
     0.10527999  1.665792e-15  6.158739e-06
     0.10538553  1.680309e-15  6.224871e-06
     0.10549118  1.694929e-15  6.291627e-06
     0.10559693  1.709652e-15  6.359012e-06
     0.10570280  1.724480e-15  6.427031e-06
     0.10580876  1.739412e-15  6.495688e-06
     0.10591484  1.754450e-15  6.564989e-06
     0.10602102  1.769594e-15  6.634939e-06
     0.10612730  1.784845e-15  6.705543e-06
     0.10623369  1.800202e-15  6.776806e-06
     0.10634019  1.815666e-15  6.848733e-06
     0.10644680  1.831239e-15  6.921330e-06
     0.10655351  1.846920e-15  6.994601e-06
     0.10666033  1.862710e-15  7.068552e-06
     0.10676726  1.878610e-15  7.143189e-06
     0.10687429  1.894620e-15  7.218515e-06
     0.10698144  1.910740e-15  7.294538e-06
     0.10708869  1.926972e-15  7.371261e-06
     0.10719604  1.943315e-15  7.448691e-06
     0.10730351  1.959770e-15  7.526833e-06
     0.10741108  1.976338e-15  7.605692e-06
     0.10751876  1.993020e-15  7.685274e-06
     0.10762655  2.009815e-15  7.765585e-06
     0.10773444  2.026724e-15  7.846629e-06
     0.10784245  2.043749e-15  7.928413e-06
     0.10795056  2.060889e-15  8.010942e-06
     0.10805878  2.078144e-15  8.094222e-06
     0.10816711  2.095517e-15  8.178258e-06
     0.10827554  2.113006e-15  8.263057e-06
     0.10838409  2.130613e-15  8.348623e-06
     0.10849275  2.148337e-15  8.434963e-06
     0.10860151  2.166181e-15  8.522082e-06
     0.10871038  2.184143e-15  8.609987e-06
     0.10881937  2.202226e-15  8.698683e-06
     0.10892846  2.220428e-15  8.788176e-06
     0.10903766  2.238751e-15  8.878471e-06
     0.10914697  2.257196e-15  8.969576e-06
     0.10925639  2.275762e-15  9.061496e-06
     0.10936592  2.294451e-15  9.154236e-06
     0.10947556  2.313263e-15  9.247804e-06
     0.10958531  2.332198e-15  9.342205e-06
     0.10969517  2.351257e-15  9.437445e-06
     0.10980514  2.370441e-15  9.533530e-06
     0.10991522  2.389750e-15  9.630467e-06
     0.11002541  2.409184e-15  9.728262e-06
     0.11013571  2.428745e-15  9.826920e-06
     0.11024612  2.448432e-15  9.926449e-06
     0.11035664  2.468246e-15  1.002686e-05
     0.11046727  2.488189e-15  1.012814e-05
     0.11057802  2.508259e-15  1.023032e-05
     0.11068887  2.528459e-15  1.033340e-05
     0.11079984  2.548788e-15  1.043737e-05
     0.11091091  2.569247e-15  1.054226e-05
     0.11102210  2.589836e-15  1.064806e-05
     0.11113340  2.610556e-15  1.075478e-05
     0.11124481  2.631408e-15  1.086243e-05
     0.11135634  2.652392e-15  1.097102e-05
     0.11146797  2.673509e-15  1.108055e-05
     0.11157972  2.694759e-15  1.119102e-05
     0.11169158  2.716143e-15  1.130245e-05
     0.11180355  2.737661e-15  1.141485e-05
     0.11191563  2.759313e-15  1.152821e-05
     0.11202783  2.781101e-15  1.164255e-05
     0.11214013  2.803025e-15  1.175787e-05
     0.11225255  2.825086e-15  1.187417e-05
     0.11236509  2.847283e-15  1.199148e-05
     0.11247773  2.869618e-15  1.210979e-05
     0.11259049  2.892091e-15  1.222911e-05
     0.11270336  2.914703e-15  1.234944e-05
     0.11281635  2.937454e-15  1.247080e-05
     0.11292945  2.960344e-15  1.259319e-05
     0.11304266  2.983375e-15  1.271662e-05
     0.11315599  3.006546e-15  1.284110e-05
     0.11326942  3.029859e-15  1.296663e-05
     0.11338298  3.053313e-15  1.309322e-05
     0.11349664  3.076910e-15  1.322087e-05
     0.11361042  3.100650e-15  1.334961e-05
     0.11372432  3.124533e-15  1.347942e-05
     0.11383833  3.148561e-15  1.361032e-05
     0.11395245  3.172732e-15  1.374232e-05
     0.11406669  3.197049e-15  1.387542e-05
     0.11418104  3.221511e-15  1.400964e-05
     0.11429551  3.246120e-15  1.414497e-05
     0.11441009  3.270875e-15  1.428144e-05
     0.11452478  3.295777e-15  1.441903e-05
     0.11463960  3.320827e-15  1.455777e-05
     0.11475452  3.346025e-15  1.469766e-05
     0.11486956  3.371372e-15  1.483870e-05
     0.11498472  3.396868e-15  1.498091e-05
     0.11509999  3.422514e-15  1.512430e-05
     0.11521538  3.448311e-15  1.526886e-05
     0.11533088  3.474258e-15  1.541461e-05
     0.11544650  3.500357e-15  1.556156e-05
     0.11556224  3.526607e-15  1.570972e-05
     0.11567809  3.553010e-15  1.585908e-05
     0.11579406  3.579567e-15  1.600967e-05
     0.11591014  3.606276e-15  1.616148e-05
     0.11602634  3.633140e-15  1.631453e-05
     0.11614266  3.660158e-15  1.646883e-05
     0.11625909  3.687331e-15  1.662437e-05
     0.11637564  3.714660e-15  1.678118e-05
     0.11649231  3.742145e-15  1.693926e-05
     0.11660909  3.769786e-15  1.709861e-05
     0.11672599  3.797585e-15  1.725925e-05
     0.11684301  3.825541e-15  1.742118e-05
     0.11696015  3.853655e-15  1.758442e-05
     0.11707740  3.881928e-15  1.774896e-05
     0.11719477  3.910361e-15  1.791482e-05
     0.11731226  3.938953e-15  1.808202e-05
     0.11742986  3.967705e-15  1.825054e-05
     0.11754759  3.996618e-15  1.842041e-05
     0.11766543  4.025692e-15  1.859163e-05
     0.11778339  4.054928e-15  1.876422e-05
     0.11790146  4.084326e-15  1.893817e-05
     0.11801966  4.113887e-15  1.911350e-05
     0.11813798  4.143611e-15  1.929022e-05
     0.11825641  4.173498e-15  1.946834e-05
     0.11837496  4.203550e-15  1.964786e-05
     0.11849363  4.233767e-15  1.982879e-05
     0.11861242  4.264149e-15  2.001115e-05
     0.11873133  4.294697e-15  2.019494e-05
     0.11885036  4.325411e-15  2.038016e-05
     0.11896951  4.356291e-15  2.056684e-05
     0.11908877  4.387339e-15  2.075497e-05
     0.11920816  4.418555e-15  2.094457e-05
     0.11932767  4.449938e-15  2.113565e-05
     0.11944729  4.481491e-15  2.132821e-05
     0.11956704  4.513212e-15  2.152227e-05
     0.11968691  4.545103e-15  2.171783e-05
     0.11980689  4.577164e-15  2.191490e-05
     0.11992700  4.609396e-15  2.211349e-05
     0.12004723  4.641799e-15  2.231361e-05
     0.12016757  4.674374e-15  2.251528e-05
     0.12028804  4.707120e-15  2.271849e-05
     0.12040863  4.740039e-15  2.292326e-05
     0.12052934  4.773131e-15  2.312960e-05
     0.12065017  4.806396e-15  2.333752e-05
     0.12077112  4.839835e-15  2.354703e-05
     0.12089220  4.873449e-15  2.375813e-05
     0.12101339  4.907237e-15  2.397084e-05
     0.12113471  4.941201e-15  2.418516e-05
     0.12125614  4.975340e-15  2.440111e-05
     0.12137770  5.009656e-15  2.461869e-05
     0.12149938  5.044148e-15  2.483792e-05
     0.12162119  5.078817e-15  2.505881e-05
     0.12174311  5.113664e-15  2.528135e-05
     0.12186516  5.148689e-15  2.550557e-05
     0.12198733  5.183893e-15  2.573148e-05
     0.12210962  5.219275e-15  2.595908e-05
     0.12223204  5.254836e-15  2.618838e-05
     0.12235458  5.290578e-15  2.641939e-05
     0.12247724  5.326499e-15  2.665213e-05
     0.12260002  5.362602e-15  2.688660e-05
     0.12272293  5.398885e-15  2.712282e-05
     0.12284596  5.435350e-15  2.736078e-05
     0.12296911  5.471997e-15  2.760052e-05
     0.12309239  5.508826e-15  2.784202e-05
     0.12321579  5.545838e-15  2.808531e-05
     0.12333931  5.583033e-15  2.833039e-05
     0.12346296  5.620412e-15  2.857727e-05
     0.12358673  5.657975e-15  2.882597e-05
     0.12371063  5.695722e-15  2.907650e-05
     0.12383465  5.733655e-15  2.932886e-05
     0.12395879  5.771772e-15  2.958306e-05
     0.12408306  5.810075e-15  2.983912e-05
     0.12420745  5.848565e-15  3.009705e-05
     0.12433197  5.887241e-15  3.035685e-05
     0.12445661  5.926104e-15  3.061854e-05
     0.12458138  5.965154e-15  3.088213e-05
     0.12470628  6.004391e-15  3.114762e-05
     0.12483129  6.043817e-15  3.141504e-05
     0.12495644  6.083432e-15  3.168438e-05
     0.12508171  6.123235e-15  3.195566e-05
     0.12520710  6.163228e-15  3.222890e-05
     0.12533262  6.203410e-15  3.250409e-05
     0.12545827  6.243782e-15  3.278126e-05
     0.12558404  6.284345e-15  3.306041e-05
     0.12570994  6.325098e-15  3.334155e-05
     0.12583596  6.366043e-15  3.362470e-05
     0.12596211  6.407179e-15  3.390986e-05
     0.12608839  6.448507e-15  3.419705e-05
     0.12621479  6.490027e-15  3.448628e-05
     0.12634132  6.531739e-15  3.477755e-05
     0.12646798  6.573645e-15  3.507088e-05
     0.12659477  6.615744e-15  3.536629e-05
     0.12672168  6.658037e-15  3.566377e-05
     0.12684872  6.700523e-15  3.596335e-05
     0.12697588  6.743204e-15  3.626503e-05
     0.12710317  6.786080e-15  3.656883e-05
     0.12723060  6.829150e-15  3.687475e-05
     0.12735814  6.872416e-15  3.718281e-05
     0.12748582  6.915878e-15  3.749302e-05
     0.12761363  6.959536e-15  3.780538e-05
     0.12774156  7.003390e-15  3.811992e-05
     0.12786962  7.047440e-15  3.843664e-05
     0.12799781  7.091688e-15  3.875556e-05
     0.12812613  7.136133e-15  3.907668e-05
     0.12825457  7.180775e-15  3.940001e-05
     0.12838315  7.225616e-15  3.972558e-05
     0.12851185  7.270654e-15  4.005338e-05
     0.12864069  7.315891e-15  4.038343e-05
     0.12876965  7.361327e-15  4.071575e-05
     0.12889874  7.406962e-15  4.105034e-05
     0.12902796  7.452797e-15  4.138722e-05
     0.12915731  7.498831e-15  4.172639e-05
     0.12928679  7.545065e-15  4.206788e-05
     0.12941640  7.591499e-15  4.241168e-05
     0.12954614  7.638134e-15  4.275782e-05
     0.12967601  7.684970e-15  4.310630e-05
     0.12980601  7.732006e-15  4.345714e-05
     0.12993614  7.779244e-15  4.381034e-05
     0.13006641  7.826684e-15  4.416593e-05
     0.13019680  7.874326e-15  4.452391e-05
     0.13032732  7.922169e-15  4.488429e-05
     0.13045797  7.970215e-15  4.524708e-05
     0.13058876  8.018464e-15  4.561231e-05
     0.13071967  8.066915e-15  4.597997e-05
     0.13085072  8.115570e-15  4.635009e-05
     0.13098190  8.164428e-15  4.672266e-05
     0.13111321  8.213489e-15  4.709772e-05
     0.13124465  8.262754e-15  4.747526e-05
     0.13137622  8.312224e-15  4.785530e-05
     0.13150793  8.361897e-15  4.823785e-05
     0.13163976  8.411775e-15  4.862293e-05
     0.13177173  8.461858e-15  4.901054e-05
     0.13190383  8.512145e-15  4.940071e-05
     0.13203607  8.562638e-15  4.979343e-05
     0.13216843  8.613336e-15  5.018873e-05
     0.13230093  8.664239e-15  5.058661e-05
     0.13243356  8.715348e-15  5.098709e-05
     0.13256633  8.766664e-15  5.139017e-05
     0.13269923  8.818185e-15  5.179589e-05
     0.13283226  8.869912e-15  5.220423e-05
     0.13296542  8.921846e-15  5.261523e-05
     0.13309872  8.973986e-15  5.302888e-05
     0.13323215  9.026333e-15  5.344520e-05
     0.13336572  9.078887e-15  5.386421e-05
     0.13349942  9.131648e-15  5.428592e-05
     0.13363325  9.184617e-15  5.471034e-05
     0.13376722  9.237793e-15  5.513748e-05
     0.13390132  9.291176e-15  5.556735e-05
     0.13403556  9.344767e-15  5.599997e-05
     0.13416993  9.398566e-15  5.643535e-05
     0.13430443  9.452573e-15  5.687351e-05
     0.13443907  9.506788e-15  5.731445e-05
     0.13457385  9.561211e-15  5.775819e-05
     0.13470876  9.615843e-15  5.820473e-05
     0.13484380  9.670683e-15  5.865411e-05
     0.13497898  9.725731e-15  5.910631e-05
     0.13511430  9.780989e-15  5.956137e-05
     0.13524975  9.836455e-15  6.001929e-05
     0.13538534  9.892130e-15  6.048009e-05
     0.13552107  9.948014e-15  6.094377e-05
     0.13565693  1.000411e-14  6.141035e-05
     0.13579292  1.006041e-14  6.187985e-05
     0.13592905  1.011692e-14  6.235227e-05
     0.13606532  1.017364e-14  6.282763e-05
     0.13620173  1.023057e-14  6.330594e-05
     0.13633827  1.028771e-14  6.378722e-05
     0.13647495  1.034506e-14  6.427148e-05
     0.13661177  1.040262e-14  6.475873e-05
     0.13674872  1.046039e-14  6.524898e-05
     0.13688581  1.051837e-14  6.574225e-05
     0.13702304  1.057656e-14  6.623855e-05
     0.13716040  1.063495e-14  6.673789e-05
     0.13729791  1.069356e-14  6.724029e-05
     0.13743555  1.075238e-14  6.774575e-05
     0.13757333  1.081141e-14  6.825431e-05
     0.13771125  1.087065e-14  6.876595e-05
     0.13784930  1.093009e-14  6.928071e-05
     0.13798750  1.098975e-14  6.979858e-05
     0.13812583  1.104962e-14  7.031960e-05
     0.13826430  1.110970e-14  7.084376e-05
     0.13840291  1.116998e-14  7.137108e-05
     0.13854166  1.123048e-14  7.190158e-05
     0.13868055  1.129119e-14  7.243526e-05
     0.13881957  1.135211e-14  7.297215e-05
     0.13895874  1.141323e-14  7.351225e-05
     0.13909805  1.147457e-14  7.405558e-05
     0.13923749  1.153612e-14  7.460215e-05
     0.13937708  1.159787e-14  7.515198e-05
     0.13951681  1.165984e-14  7.570507e-05
     0.13965667  1.172202e-14  7.626145e-05
     0.13979668  1.178440e-14  7.682111e-05
     0.13993682  1.184700e-14  7.738409e-05
     0.14007711  1.190980e-14  7.795039e-05
     0.14021754  1.197282e-14  7.852002e-05
     0.14035811  1.203604e-14  7.909300e-05
     0.14049882  1.209948e-14  7.966935e-05
     0.14063967  1.216312e-14  8.024906e-05
     0.14078066  1.222697e-14  8.083217e-05
     0.14092179  1.229103e-14  8.141868e-05
     0.14106306  1.235531e-14  8.200860e-05
     0.14120448  1.241978e-14  8.260195e-05
     0.14134604  1.248447e-14  8.319875e-05
     0.14148774  1.254937e-14  8.379899e-05
     0.14162958  1.261448e-14  8.440271e-05
     0.14177156  1.267979e-14  8.500991e-05
     0.14191369  1.274531e-14  8.562061e-05
     0.14205596  1.281104e-14  8.623482e-05
     0.14219837  1.287698e-14  8.685255e-05
     0.14234092  1.294313e-14  8.747382e-05
     0.14248362  1.300948e-14  8.809863e-05
     0.14262646  1.307604e-14  8.872702e-05
     0.14276944  1.314281e-14  8.935897e-05
     0.14291257  1.320979e-14  8.999452e-05
     0.14305584  1.327697e-14  9.063368e-05
     0.14319925  1.334437e-14  9.127645e-05
     0.14334281  1.341196e-14  9.192285e-05
     0.14348651  1.347977e-14  9.257290e-05
     0.14363036  1.354778e-14  9.322661e-05
     0.14377435  1.361600e-14  9.388399e-05
     0.14391848  1.368442e-14  9.454505e-05
     0.14406276  1.375305e-14  9.520982e-05
     0.14420718  1.382188e-14  9.587830e-05
     0.14435175  1.389092e-14  9.655050e-05
     0.14449646  1.396017e-14  9.722645e-05
     0.14464132  1.402962e-14  9.790615e-05
