   2.3863  1.25499E-12  1.50394E-13
   2.4361  1.47092E-12  8.04905E-14
   2.4857  1.83925E-12  5.59834E-14
   2.5369  1.22475E-12  7.56121E-14
   2.5862  1.43384E-12  7.65777E-14
   2.6275  1.45185E-12  8.89767E-14
   2.6860  1.06873E-12  8.64648E-14
   2.7361  1.17120E-12  7.01962E-14
   2.7863  1.00571E-12  6.05494E-14
   2.8371  1.06521E-12  5.24854E-14
   2.8863  1.03872E-12  4.23280E-14
   2.9364  9.84004E-13  5.58201E-14
   2.9953  1.21043E-12  7.25133E-14
   3.0350  8.35906E-13  1.01224E-13
   3.0872  5.55848E-13  1.45337E-13
   3.1372  8.03052E-13  1.27851E-13
   3.1876  4.68340E-13  8.78766E-14
   3.2375  6.45316E-13  7.34660E-14
   3.2875  7.61685E-13  5.41137E-14
   3.3378  6.06272E-13  5.32980E-14
   3.3882  4.47417E-13  4.23222E-14
   3.4382  4.62585E-13  4.39360E-14
   3.4880  4.15718E-13  5.82510E-14
   3.5383  3.54586E-13  5.55647E-14
   3.5885  4.30709E-13  5.11244E-14
   3.6389  3.06946E-13  4.91784E-14
   3.6889  2.09898E-13  4.09532E-14
   3.7389  2.56239E-13  4.40085E-14
   3.7816  3.77881E-13  4.25868E-14
   3.8385  4.42924E-13  4.04392E-14
   3.8888  3.35054E-13  4.07758E-14
   3.9384  4.11333E-13  5.50765E-14
   3.9911  3.56717E-13  5.13894E-14
   4.0402  1.44142E-14  1.80574E-13
   4.0835 -9.08753E-13  3.41003E-13
   4.1402  7.87887E-13  5.44281E-13
   4.1902 -2.05070E-13  3.26684E-13
   4.2408 -3.18838E-13  4.64813E-13
   4.2921 -1.19741E-13  4.56840E-13
   4.3421 -7.64294E-13  4.49145E-13
   4.3917 -7.05011E-13  3.62206E-13
   4.4421 -5.14989E-13  3.44652E-13
   4.4936 -4.58148E-13  2.87059E-13
   4.5430 -8.87585E-13  2.80304E-13
   4.5930 -1.42683E-12  3.04063E-13
   4.6429 -9.32153E-13  2.93853E-13
   4.6950 -1.30255E-12  2.59185E-13
   4.7454 -7.82497E-13  3.12858E-13
   4.7946 -1.31304E-12  3.10635E-13
   4.8438 -6.05423E-13  3.35520E-13
   4.8958  4.62374E-13  4.12689E-13
   4.9455  2.71658E-13  4.34294E-13
   4.9951 -2.90134E-13  3.33713E-13
   5.0464 -3.27044E-13  2.79012E-13
   5.0957 -1.00006E-12  3.08957E-13
   5.1474  6.59352E-13  2.99955E-13
